payid,employeeid,hoursWorked,payDate
44235,50561,70,2026-01-31
44236,50562,124,2026-01-31
44237,50563,130,2026-01-31
44238,50564,165,2026-01-31
44239,50565,150,2026-01-31
44240,50566,145,2026-01-31
44241,50567,85,2026-01-31
44242,50568,55,2026-01-31
44243,50569,92,2026-01-31
44244,50570,170,2026-01-31
44245,50571,110,2026-01-31
44246,50572,160,2026-01-31
44247,50573,162,2026-01-31
44248,50574,85,2026-01-31
44249,50575,65,2026-01-31
44250,50576,40,2026-02-28
44251,50577,150,2026-02-28
44252,50578,145,2026-02-28
44253,50579,85,2026-02-28
44254,50580,55,2026-02-28
44255,50581,92,2026-02-28
44256,50582,170,2026-02-28
44257,50583,110,2026-02-28
44258,50584,160,2026-03-31
44259,50573,70,2026-03-31
44260,50574,124,2026-03-31
44261,50575,130,2026-03-31
44262,50576,165,2026-03-31
44263,50577,214,2026-03-31
44264,50578,115,2026-03-31
44265,50579,154,2026-03-31
44266,50580,132,2026-03-31
44267,50581,160,2026-03-31
44268,50582,170,2026-03-31
44269,50583,165,2026-03-31
44270,50584,150,2026-03-31
44271,50562,145,2026-03-31
44272,50563,85,2026-03-31
44273,50564,55,2026-03-31
44274,50565,92,2026-03-31
44275,50566,170,2026-12-31
44276,50567,110,2026-12-31
44277,50568,160,2026-12-31
44278,50569,70,2026-12-31
44279,50570,124,2026-12-31
44280,50571,130,2026-12-31
44281,50561,165,2026-12-31
44282,50562,214,2026-12-31
44283,50563,115,2026-12-31
44284,50564,154,2026-12-31
44285,50565,132,2026-12-31
44286,50566,160,2026-12-31
44287,50567,150,2026-12-31
44288,50568,145,2026-12-31
44289,50569,85,2026-12-31
44290,50570,55,2026-12-31
44291,50571,92,2026-12-31
44292,50572,170,2026-12-31
44293,50573,110,2026-12-31
44294,50574,160,2026-04-30
44295,50575,70,2026-04-30
44296,50576,124,2026-04-30
44297,50577,130,2026-04-30
44298,50578,165,2026-04-30
44299,50579,214,2026-04-30
44300,50580,115,2026-04-30
44301,50581,154,2026-04-30
44302,50582,132,2026-04-30
44303,50583,160,2026-04-30
44304,50584,124,2026-04-30
44305,50572,130,2026-05-31
44306,50573,165,2026-05-31
44307,50574,150,2026-05-31
44308,50575,145,2026-05-31
44309,50576,85,2026-05-31
44310,50577,55,2026-05-31
44311,50578,92,2026-05-31
44312,50579,170,2026-05-31
44313,50580,110,2026-05-31
44314,50581,160,2026-05-31
44315,50582,162,2026-05-31
44316,50583,85,2026-05-31
44317,50584,150,2026-05-31
44318,50573,145,2026-06-30
44319,50574,85,2026-06-30
44320,50575,55,2026-06-30
44321,50576,92,2026-06-30
44322,50577,170,2026-06-30
44323,50578,110,2026-06-30
44324,50579,160,2026-06-30
44325,50580,70,2026-06-30
44326,50581,124,2026-06-30
44327,50582,130,2026-06-30
44328,50583,165,2026-06-30
44329,50584,214,2026-06-30
44330,50562,115,2026-06-30
44331,50563,154,2026-06-30
44332,50564,132,2026-06-30
44333,50565,160,2026-06-30
44334,50566,150,2026-06-30
44335,50567,145,2026-06-30
44336,50568,85,2026-06-30
44337,50569,55,2026-06-30
44338,50570,92,2026-06-30
44339,50571,170,2026-06-30
44340,50561,110,2026-06-30
44341,50562,160,2026-06-30
44342,50563,70,2026-06-30
44343,50564,124,2026-06-30
44344,50565,130,2026-06-30
44345,50566,165,2026-06-30
44346,50567,214,2026-06-30
44347,50568,115,2026-06-30
44348,50569,154,2026-06-30
44349,50570,132,2026-06-30
44350,50571,160,2026-06-30
44351,50572,124,2026-06-30
44352,50573,130,2026-06-30
44353,50574,165,2026-06-30
44354,50575,150,2026-06-30
44355,50576,145,2026-06-30
44356,50577,85,2026-06-30
44357,50578,55,2026-06-30
44358,50579,92,2026-06-30
44359,50580,170,2026-06-30
44360,50581,110,2026-06-30
44361,50582,160,2026-06-30
44362,50583,162,2026-06-30
44363,50584,85,2026-07-31
44364,50561,105,2026-07-31
44365,50562,95,2026-07-31
44366,50563,88,2026-07-31
44367,50564,102,2026-07-31
44368,50565,140,2026-07-31
44369,50566,164,2026-07-31
44370,50567,170,2026-07-31
44371,50568,150,2026-07-31
44372,50569,110,2026-07-31
44373,50570,115,2026-07-31
44374,50571,132,2026-07-31
44375,50572,160,2026-07-31
44376,50573,124,2026-07-31
44377,50574,130,2026-07-31
44378,50575,165,2026-07-31
44379,50576,150,2026-07-31
44380,50577,145,2026-07-31
44381,50578,85,2026-07-31
44382,50579,55,2026-07-31
44383,50580,92,2026-08-31
44384,50581,170,2026-08-31
44385,50582,110,2026-08-31
44386,50583,160,2026-08-31
44387,50584,162,2026-08-31
44388,50572,85,2026-08-31
44389,50573,105,2026-08-31
44390,50574,95,2026-08-31
44391,50575,88,2026-08-31
44392,50576,102,2026-08-31
44393,50577,140,2026-08-31
44394,50578,164,2026-08-31
